Id,LotArea,OverallQual,T_Bath,T_Br,Fireplaces,GarageCars,T_Sf,SalePrice
117,11616,5,2,3,1,1,1826.08,139000
118,8536,5,2,2,0,2,1542.4,155000
119,12376,7,4,5,2,3,4425.12,320000
120,8461,6,3,3,1,2,1679.04,163990
121,21453,6,2,1,2,2,1780.16,180000
122,6060,4,1,3,0,1,1451.16,100000
123,9464,6,1,3,0,1,1654.2,136000
124,7892,6,2,2,0,2,1687.12,153900
125,17043,6,2,3,1,2,2090.24,181000
126,6780,6,2,2,0,0,1100.12,84500
127,4928,6,2,2,1,2,1464.64,128000
128,4388,5,1,3,1,0,1067.6,87000
129,7590,6,2,3,1,2,1913.6,155000
130,8973,5,3,3,0,2,1749.14,150000
131,14200,7,3,4,2,2,2687.02,226000
132,12224,6,4,3,1,2,2621.82,244000
133,7388,5,2,3,0,2,1762.34,150750
134,6853,8,3,2,0,2,2135.34,220000
135,10335,5,3,3,1,2,2559.08,180000
136,10400,7,2,3,1,2,2109.84,174000
137,10355,5,2,3,1,1,1879.02,143000
138,11070,7,3,5,0,3,2492.96,171000
139,9066,8,3,3,2,3,2588.4,230000
140,15426,6,4,3,0,2,2558.82,231500
141,10500,4,1,3,1,0,1252.8,115000
142,11645,7,3,3,0,2,2783.12,260000
143,8520,5,2,4,0,2,1812.18,166000
144,10335,7,3,3,0,2,2264.42,204000
145,9100,5,3,6,0,2,2664.72,125000
146,2522,6,2,3,0,2,2012.6,130000
147,6120,5,2,2,0,1,1176.98,105000
148,9505,7,3,3,1,2,2413.08,222500
149,7500,7,2,3,0,0,1613.6,141000
150,6240,5,1,3,0,1,1814.08,115000
151,10356,5,2,3,0,2,1483.76,122000
152,13891,8,3,2,1,3,2746.4,372402
153,14803,6,3,4,1,2,2418.24,190000
154,13500,6,2,1,1,2,2475.38,235000
155,11340,6,1,4,0,1,1736.64,125000
156,9600,6,1,2,0,0,1375.2,79000
157,7200,5,1,2,0,2,1040,109500
158,12003,8,3,4,1,3,2244.72,269500
159,12552,7,3,3,1,2,2408.76,254900
160,19378,7,4,4,1,2,3267.46,320000
161,11120,6,2,3,0,2,1801.36,162500
162,13688,9,4,3,2,3,3709.6,412500
163,12182,7,2,3,1,2,2436.82,220000
164,5500,4,1,1,0,0,1128.96,103200
165,5400,6,2,3,0,1,2224.56,152000
166,10106,5,3,4,0,0,1805.8,127500
167,10708,5,2,2,3,1,3099.58,190000
168,10562,8,3,3,1,3,3251.8,325624
169,8244,7,3,3,1,2,2057.6,183500
170,16669,8,3,2,1,2,2597.64,228000
171,12358,5,2,2,0,2,1857.68,128500
172,31770,6,2,3,2,2,2359.66,215000
173,5306,7,3,2,1,2,2616.56,239000
174,10197,6,3,3,1,2,1984.44,163000
175,12416,6,3,3,1,2,2769.6,184000
176,12615,6,3,4,1,2,2714.26,243000
177,10029,6,4,4,1,2,2962.42,211000
178,13650,5,3,4,1,2,2383.88,172500
179,17423,9,3,1,1,3,3549.84,501837
180,8520,5,1,2,0,2,1400.96,100000
181,2117,6,3,3,1,2,1884.92,177000
182,7588,7,2,4,1,1,2178.92,200100
183,9060,5,1,3,1,1,1561.84,120000
184,11426,7,3,3,0,2,2832.96,200000
185,7438,5,1,3,0,2,1459.68,127000
186,22950,10,3,4,2,3,4371.96,475000
187,9947,7,3,3,0,2,1886.5,173000
188,10410,5,3,3,0,1,1955.6,135000
189,7018,5,4,2,2,2,1974.12,153337
190,4923,8,3,0,1,2,2661.46,286000
191,10570,8,3,3,2,2,3126.02,315000
192,7472,7,3,4,0,2,1920.44,184000
193,9017,7,3,3,0,2,2050.08,192000
194,2522,7,2,3,0,2,2012.6,130000
195,7180,5,1,3,0,1,1238.52,127000
196,2280,6,3,3,1,2,1943.52,148500
197,9416,7,3,3,1,3,2971.56,311872
198,25419,8,4,4,1,2,4406.16,235000
199,5520,6,1,5,0,0,2625.2,104000
200,9591,8,3,3,1,3,2685.36,274900
201,8546,4,2,2,0,2,1570.56,140000
202,10125,6,3,3,2,2,2145.4,171500
203,7000,6,2,2,0,1,1803.42,112000
204,4438,6,2,1,1,2,1405.88,149000
205,3500,5,2,2,0,1,1619.68,110000
206,11851,7,2,3,0,2,2284.48,180500
207,13673,5,2,3,1,1,2039.2,143900
208,12493,4,2,3,1,1,1881.7,141000
209,14364,7,4,3,1,2,2922.86,277000
210,8250,6,2,3,0,2,1665.34,145000
211,5604,5,2,2,0,0,1349.52,98000
212,10420,6,2,3,0,2,1645.2,186000
213,8640,7,4,3,1,2,2577.4,252678
214,13568,5,2,3,0,2,1654,156000
215,10900,6,2,3,0,1,1742.24,161750
216,10011,5,2,2,1,1,1658,134450
217,8450,7,3,3,0,2,2327.08,210000
218,9906,4,1,3,0,1,1710.48,107000
219,15660,7,3,3,2,2,2520.58,311500
220,3010,7,2,2,0,2,1672,167240
221,8990,7,2,2,0,2,2168.48,204900
222,8068,6,3,4,1,2,2663.4,200000
223,11475,6,4,3,1,2,2238.8,179900
224,10500,4,1,2,0,2,1483.52,97000
225,13472,10,2,3,1,3,3323.52,386250
226,1680,5,3,3,0,1,1478.4,112000
227,9950,7,3,4,1,3,3283.5,290000
228,1869,6,2,2,0,1,1231.38,106000
229,8521,5,1,3,1,1,1453.64,125000
230,3182,7,2,2,1,2,2052.4,192500
231,8760,6,2,3,0,1,1633.92,148000
232,15138,8,4,4,1,3,3732.18,403000
233,1680,6,2,2,1,1,1122.24,94500
234,10650,5,2,3,0,1,1681.88,128200
235,7851,6,4,4,2,2,2636.02,216500
236,1680,6,2,2,0,1,1243.96,89500
237,8773,7,2,3,0,2,1986.56,185500
238,9453,7,3,3,0,2,2647.52,194500
239,12030,8,2,3,0,3,2458.24,318000
240,8741,6,2,3,1,1,1836.76,113000
241,9000,8,3,3,0,2,2597.56,262500
242,3880,5,1,2,0,0,1240.66,110500
243,5000,5,1,3,0,1,1658.96,79000
244,10762,6,2,3,1,1,1414.68,120000
245,8880,7,4,3,2,2,2715.74,205000
246,10400,7,3,3,1,2,2861.74,241500
247,9142,6,2,4,0,1,2360.16,137000
248,11310,6,1,2,1,2,1781.76,140000
249,11317,7,3,3,0,2,2049.76,180000
250,159000,6,3,4,2,2,2863.7,277000
251,5350,3,1,3,0,0,1678.16,76500
252,4750,8,4,2,1,2,2770.78,235000
253,8366,6,3,3,0,2,1987.76,173000
254,9350,6,3,3,0,1,2168.68,158000
255,8400,5,2,3,0,1,2155.4,145000
256,8738,7,3,4,1,2,2686.88,230000
257,8791,6,3,3,0,2,2323.98,207500
258,8814,7,4,3,1,2,2673.4,220000
259,12435,7,3,3,1,2,2462.08,231500
260,12702,5,1,2,0,1,918,97000
261,19296,6,2,3,1,2,2448.2,176000
262,9588,8,3,3,1,3,3107.36,276000
263,8471,6,2,3,1,2,1722.2,151000
264,5500,5,2,3,0,2,1890.12,130000
265,5232,5,1,2,0,2,954.4,73000
266,12090,6,2,3,1,2,2274.24,175500
267,11207,6,4,3,1,2,2099.12,185000
268,8400,5,3,4,1,1,2709,179500
269,6900,5,1,2,1,1,1184.72,120500
270,7917,6,3,3,1,1,1949.18,148000
271,10728,8,3,3,1,3,2409.28,266000
272,39104,7,2,2,2,2,2240.9,241500
273,11764,8,3,4,1,3,2900.8,290000
274,9600,6,3,3,1,1,2585.76,139000
275,8314,5,1,2,0,1,1337.64,124500
276,7264,7,3,3,0,2,1948.32,205000
277,9196,7,2,3,0,2,2180.8,201000
278,19138,4,1,2,0,2,1146.72,141000
279,14450,9,3,3,1,3,2957.84,415298
280,10005,7,3,4,1,2,2758,192000
281,11287,7,3,3,1,2,2579.02,228500
282,7200,6,2,2,0,2,2019.06,185000
283,5063,7,3,2,1,2,2148.96,207500
284,9612,8,2,3,1,3,2133.44,244600
285,8012,6,3,2,0,2,2207.96,179200
286,4251,7,3,2,0,2,1468.2,164700
287,9786,6,2,3,1,2,2270.16,159000
288,8125,4,1,3,0,0,1307,88000
289,9819,5,1,3,0,1,1299.96,122000
290,8730,6,1,3,0,1,1746.84,153575
291,15611,8,3,3,1,2,2261.92,233230
292,5687,5,3,6,0,0,2153,135900
293,11409,5,2,3,1,1,2126.32,131000
294,16659,7,4,3,1,2,2955.9,235000
295,9600,6,2,3,2,2,2547.78,167000
296,7937,6,2,3,0,2,1639.1,142500
297,13710,5,2,4,0,1,2140.56,152000
298,7399,7,3,3,1,2,2570.46,239000
299,11700,6,4,3,1,2,2272.98,175000
300,14000,6,2,3,1,1,1486.56,158500
301,15750,5,2,2,2,1,1948.14,157000
302,16226,8,3,4,1,2,3008.5,267000
303,13704,7,2,3,1,3,2336.8,205000
304,9800,5,2,3,0,2,1612.12,149900
305,18386,7,3,3,1,3,4097.88,295000
306,10386,8,3,3,0,3,3165.28,305900
307,13474,7,4,4,1,3,2990.6,225000
308,7920,6,1,3,0,0,1610.52,89500
309,12342,4,1,1,0,2,1292.28,82500
310,12378,9,3,3,3,3,3181.16,360000
311,7685,6,3,3,1,2,2044.28,165600
312,8000,6,2,2,1,1,1475.36,132000
313,7800,5,2,3,1,2,1675.02,119900
314,215245,7,4,3,2,2,3333.12,375000
315,9600,7,3,3,1,2,2056.2,178000
316,7795,7,4,3,1,2,1881.78,188500
317,13005,7,4,4,1,2,3165.2,260000
318,9000,8,3,3,1,3,2433.56,270000
319,9900,7,4,4,1,3,3751.06,260000
320,14115,7,3,3,2,2,2395.92,187500
321,16259,9,4,4,0,3,3222.52,342643
322,12099,8,4,4,1,3,3356.84,354000
323,10380,7,4,4,1,2,3866.68,301000
324,5820,3,2,3,0,1,1744.68,126175
325,11275,7,3,5,1,2,3330.4,242000
326,5000,5,1,2,0,2,1258.76,87000
327,10846,8,4,1,2,2,2852.86,324000
328,11600,6,2,3,0,1,1998.34,145250
329,11888,6,2,5,0,2,2654.16,214500
330,6402,5,1,3,0,1,1479.44,78000
331,10624,5,3,6,0,1,2414.4,119000
332,8176,5,2,3,0,1,1639.32,139000
333,10655,8,3,3,1,3,3071.7,284000
334,8198,7,3,2,1,2,2129.92,207000
335,9042,6,4,3,2,2,2277.96,192000
336,164660,5,4,3,2,2,3109.16,228950
337,14157,9,3,3,1,3,3039.54,377426
338,9135,7,3,3,0,2,2423.56,214000
339,14145,7,3,3,0,2,2136.78,202500
340,12400,6,1,3,0,1,1894.5,155000
342,8400,4,1,2,0,1,1224,82000
343,8544,3,2,2,0,2,1040,87500
344,8849,9,2,2,1,2,2539.44,266000
345,2592,5,2,3,0,1,1501.3,85000
346,6435,6,1,3,1,1,1849.16,140200
347,12772,6,1,2,0,1,1395.56,151500
348,17600,6,3,3,2,2,2355.64,157500
349,2448,7,4,2,0,2,2056.34,154000
350,20431,9,4,4,2,3,3724.84,437154
351,7820,9,2,2,1,2,2569.92,318061
352,5271,7,3,2,1,2,2402.12,190000
353,9084,5,2,3,0,1,1523.64,95000
354,8520,6,1,2,0,2,962.56,105900
355,8400,6,1,2,2,1,2085.16,140000
356,11249,6,3,3,0,2,1855.32,177500
357,9248,6,3,3,0,2,1779.24,173000
358,4224,5,3,3,1,2,2173.96,134000
359,6930,5,2,3,0,1,2217.56,130000
360,12011,8,4,3,1,2,2970.64,280000
361,7540,6,2,2,1,2,1538.66,156000
362,9144,5,2,3,0,1,1887.9,145000
363,7301,7,3,4,1,2,2077.76,198500
364,1680,6,2,2,0,1,1337.32,118000
365,18800,6,4,3,1,2,2323.6,190000
366,10690,5,1,3,0,1,1981.44,147000
367,9500,6,3,3,2,2,2163.18,159000
368,9150,6,2,3,1,1,1993.82,165000
369,7800,5,1,2,1,1,1885.04,132000
370,9830,5,2,3,1,2,2052.6,162000
371,8121,6,3,3,1,2,2026.84,172400
372,17120,4,2,4,1,2,1635.2,134432
373,7175,6,2,2,0,1,1493.2,125000
374,10634,5,2,3,0,1,1738.2,123000
375,8200,7,3,4,1,2,2267.56,219500
376,10020,1,2,1,0,0,1214.24,61000
377,8846,5,1,2,0,2,1258.92,148000
378,11143,8,3,4,1,2,3181.36,340000
379,11394,9,3,1,1,3,2939.3,394432
380,8123,6,3,3,1,2,2189.36,179000
381,5000,5,2,3,1,1,2265.36,127000
382,7200,7,3,2,1,2,1898.08,187750
383,9245,7,3,3,0,2,2194.48,213500
384,9000,6,1,2,0,2,1083.6,76000
385,53107,6,4,3,2,2,3053.34,240000
386,3182,8,2,2,1,2,1824.68,192000
387,8410,5,1,5,0,0,1489.04,81000
388,7200,6,2,3,1,1,1820.46,125000
389,9382,7,2,3,0,2,1986.84,191000
390,12474,10,4,3,1,3,3470.8,426000
391,8405,5,2,4,0,1,2025.52,119000
392,12209,6,4,3,1,2,2654.32,215000
393,8339,5,1,3,0,1,882,106500
394,7446,4,1,2,2,0,1099.08,100000
395,10134,5,1,2,0,1,1271,109000
396,9571,5,2,3,0,1,1743.74,129000
397,7200,5,1,2,0,2,1546.1,123000
398,7590,5,2,4,1,1,2371.92,169500
399,8967,5,1,2,0,1,1346.08,67000
400,8125,7,3,2,0,2,2266.24,241000
401,14963,8,3,1,2,2,2143.24,245500
402,8767,7,2,3,1,2,1684.96,164990
403,10200,5,1,2,0,1,967.68,108000
404,12090,8,3,4,1,2,2773.04,258000
405,10364,6,3,3,1,2,1829.68,168000
406,9991,4,3,3,1,2,2497.32,150000
407,10480,6,1,3,0,1,1936.92,115000
408,15576,6,2,4,0,1,2056,177000
409,14154,7,3,3,1,3,2642.12,280000
410,10800,8,4,3,1,3,2717.38,339750
411,9571,5,1,3,0,1,1633.28,60000
412,34650,5,2,3,0,2,1879.68,145000
413,4403,7,4,2,1,2,2201.32,222000
414,8960,5,1,2,1,2,1424.64,115000
415,11228,7,4,3,1,3,2871.98,228000
416,8899,7,2,3,0,2,1811.36,181134
417,7844,6,2,3,1,2,1659.22,149500
418,22420,6,4,4,1,3,3391.12,239000
419,8160,5,3,3,0,1,1451.76,126000
420,8450,5,2,3,1,1,1845.1,142000
421,7060,7,4,2,0,4,2165.38,206300
422,16635,6,3,3,1,2,2627.8,215000
423,21750,5,1,2,0,2,1264.64,113000
424,9200,8,4,4,1,3,3429.64,315000
425,9000,6,2,2,1,1,1775.52,139000
426,3378,7,2,3,2,1,1682.16,135000
427,12800,7,4,2,1,2,2873.96,275000
428,8593,4,1,3,0,1,1258.88,109008
429,6762,7,3,2,0,2,1882.4,195400
430,11457,6,3,3,1,2,2292.18,175000
431,1680,6,2,2,0,1,1253.82,85400
432,5586,6,1,4,0,0,1528.68,79900
433,1920,5,3,2,0,2,1921.74,122500
434,10839,6,3,3,1,2,1892.08,181000
435,1890,4,2,1,0,0,1031.02,81000
436,10667,7,4,3,1,2,2282.5,212000
437,4400,6,1,2,0,2,1299.44,116000
438,6000,6,1,2,0,1,1243.92,119000
439,4280,5,1,2,1,1,971.22,90350
440,12354,6,1,3,0,2,1424.32,110000
441,15431,10,3,2,2,3,4211.96,555000
442,12108,4,2,4,0,0,1888.42,118000
443,6240,5,2,3,1,2,1874.84,162900
444,3922,7,2,2,1,3,1715.2,172500
445,8750,7,4,4,1,2,2581.04,210000
446,9855,6,1,3,1,2,2091.08,127500
447,16492,6,3,2,1,2,2639.16,190000
448,11214,7,3,4,1,2,2203.36,199900
449,8600,6,2,3,1,1,1594.4,119500
450,6000,3,2,2,0,1,1618.06,120000
451,5684,6,1,2,0,1,1131.04,110000
452,70761,7,3,2,2,2,2356.14,280000
453,9303,6,4,3,0,2,2442.2,204000
454,9000,8,3,3,0,2,1829.04,210000
455,9297,5,4,4,0,2,2757.88,188000
456,9600,7,2,3,1,2,1901.2,175500
457,4571,5,1,4,0,3,1603.2,98000
458,53227,4,2,2,2,2,2677.32,256000
459,5100,8,1,3,1,1,2003.92,161000
460,7015,5,2,3,1,1,1682.66,110000
461,8004,8,4,3,0,2,2472.92,263435
462,7200,7,2,3,0,2,1646.04,155000
463,8281,5,1,3,1,1,1607.36,62383
464,11988,6,2,3,1,1,1971.04,188700
465,8430,5,2,3,0,0,1540.64,124000
466,3072,7,2,2,1,2,1907.16,178740
467,10628,7,2,2,1,2,2004.68,167000
468,9480,5,2,3,2,1,2086.6,146500
469,11428,8,2,3,1,3,2124.48,250000
470,9291,6,3,3,0,2,2235.96,187000
471,6820,8,3,1,0,2,2551.76,212000
472,11952,7,3,3,1,2,2360.84,190000
473,3675,6,2,2,0,2,1403.62,148000
474,14977,8,3,2,1,3,3198.68,440000
475,5330,8,3,2,0,2,2576.8,251000
476,8480,5,2,2,0,2,1590.2,132500
477,13125,6,3,3,1,2,2365.6,208900
478,13693,9,3,3,1,3,3578,380000
479,10637,8,3,3,1,3,2801.64,297000
480,5925,4,1,2,0,2,1499.68,89471
481,16033,9,3,3,1,3,3213.74,326000
482,11846,9,3,2,1,3,2997.58,374000
483,2500,7,3,4,1,1,2182.46,155000
484,4500,6,3,2,0,2,1961.46,164000
485,7758,5,2,3,0,1,1584.24,132500
486,9600,5,1,3,1,1,1800.62,147000
487,10289,5,3,3,0,2,1657.68,156000
488,12243,5,2,3,1,2,2490.2,175000
489,10800,5,2,3,1,2,2997.76,160000
490,1526,4,2,1,0,1,981.5,86000
491,2665,5,2,3,1,1,1487.36,115000
492,9490,6,2,3,2,1,2024.96,133000
493,15578,6,3,3,0,2,1659.84,172785
494,7931,5,2,3,1,1,1932.36,155000
495,5784,5,1,2,0,1,1117.76,91300
496,7879,4,1,2,0,0,1609.5,34900
497,12692,8,4,4,1,2,5027.58,430000
498,9120,7,3,4,0,1,2299.14,184000
499,7800,5,1,3,0,1,1334.88,130000
500,7535,5,2,2,0,1,1535.64,120000
501,1890,6,2,3,0,1,1641.76,113000
502,9803,7,3,3,0,2,2232.88,226700
503,9170,5,2,2,0,2,1985.8,140000
504,15602,7,3,1,2,2,2785.06,289000
505,2308,6,4,3,1,2,1983.48,147000
506,7596,5,2,4,0,2,2228.8,124500
507,9554,8,3,3,1,2,2439.04,215000
508,7862,6,2,2,0,2,1649.82,208300
509,9600,7,2,3,1,2,1720.94,161000
510,9600,5,2,3,0,1,1883.18,124500
511,14559,5,2,2,2,1,2269.2,164900
512,6792,7,2,2,1,2,1863.52,202665
513,9100,5,2,3,0,2,1342.22,129900
514,9187,6,2,3,0,2,1713.6,134000
515,10594,5,1,2,0,1,1102.6,96500
516,12220,10,4,3,1,3,3212.96,402861
517,10448,6,3,3,1,2,2395.12,158000
518,10208,7,3,3,1,3,2838.72,265000
519,9531,6,4,3,0,2,2287.16,211000
520,10918,7,2,3,2,1,2524.28,234000
521,10800,4,2,3,0,0,1710.8,106250
522,11988,6,2,3,2,1,1888.5,150000
523,5000,6,2,3,2,2,2131.66,159000
524,40094,10,5,3,1,3,6780.96,184750
525,11787,7,4,3,1,3,3229.54,315750
526,7500,7,2,3,1,2,1757.48,176000
527,13300,5,1,2,0,1,1620.34,132000
528,14948,9,4,3,1,3,3705.2,446261
529,9098,4,2,2,0,0,997.88,86000
530,32668,6,4,4,2,2,3675.26,200624
531,10200,6,3,3,1,2,2327.66,175000
532,6155,6,2,3,0,2,1607,128000
533,7200,5,1,2,1,1,827,107500
534,5000,1,1,1,0,0,334,39300
535,9056,8,3,3,1,2,1703.96,178000
536,7000,5,2,3,0,0,2173.86,107500
537,8924,7,3,3,0,2,2171.2,188000
538,12735,4,1,3,0,2,1448.16,111250
539,11553,5,2,3,1,1,1980.34,158000
540,11423,8,3,3,1,2,2620.6,272000
541,14601,9,3,2,1,3,3008.24,315000
542,11000,8,3,4,1,3,2601.12,248000
543,10140,7,3,3,1,2,2682.46,213250
544,4058,7,2,1,0,1,1324.06,133000
545,17104,7,4,3,1,2,1950.68,179665
546,13837,7,3,4,0,3,2929.48,229000
547,8737,6,2,3,1,2,2183.68,210000
548,7244,5,2,2,0,2,1260.06,129500
549,8235,5,2,2,0,2,1466.1,125000
550,9375,7,3,4,1,2,2611.44,263000
551,4043,6,2,2,0,2,1722.38,140000
552,6000,5,1,3,0,1,1292.56,112500
553,11146,8,2,3,1,3,2334.88,255500
554,8777,4,2,2,0,2,1202.8,108000
555,10625,7,4,3,1,3,2874.28,284000
556,6380,5,1,2,1,1,1428.12,113000
557,14850,5,2,2,1,1,1946.78,141000
558,11040,4,2,3,0,1,1874.14,108000
559,21872,7,4,3,1,2,2042.04,175000
560,3196,7,2,2,1,2,2049.24,234000
561,11341,5,3,3,1,2,2281.44,121500
562,10010,5,2,2,1,2,2367.88,170000
563,13907,5,2,3,1,0,1465.64,108000
564,21780,6,2,4,1,2,2160.92,185000
565,13346,7,4,4,1,2,2881.12,268000
566,6858,6,3,4,0,1,2045.16,128000
567,11198,9,3,4,1,3,2941.52,325000
568,10171,7,2,3,0,2,1960.44,214000
569,12327,8,3,1,1,2,3296.18,316600
570,7032,5,2,2,2,2,1554.54,135960
571,13101,5,2,6,0,2,2290.38,142600
572,7332,6,2,2,0,1,1354.2,120000
573,13159,7,3,3,0,2,2153.2,224500
574,9967,7,3,3,1,2,1601.52,170000
575,10500,5,2,3,0,1,1354.22,139000
576,8480,5,1,2,0,1,1790.12,118500
577,6292,7,3,3,1,1,1758.08,145000
578,11777,5,2,3,2,2,2312.78,164500
579,3604,7,2,2,0,2,1666.52,146000
580,12150,5,2,4,0,1,2089,131500
581,14585,6,2,3,2,2,2251.98,181900
582,12704,8,3,3,1,3,2685.76,253293
583,11841,6,2,3,0,0,1347.52,118500
584,13500,10,4,3,1,2,3590.16,325000
585,6120,4,1,3,0,1,1940.04,133000
586,11443,8,3,2,2,3,3308.88,369900
587,10267,6,2,2,0,1,1442.48,130000
588,8740,5,2,2,0,2,1323.68,137000
589,25095,5,3,1,2,1,2399.92,143000
590,9100,5,1,2,0,1,1142.76,79500
591,8320,7,3,3,0,2,2000.2,185900
592,13478,10,4,3,1,3,3696.76,451950
593,6600,5,2,2,0,2,1321.92,138000
594,4435,6,2,1,0,2,1407.94,140000
595,7990,5,1,3,0,1,1182.72,110000
596,11302,8,3,3,1,3,3064.6,319000
597,3600,6,1,3,0,1,1685.92,114504
598,3922,7,4,2,1,3,1843.84,194201
599,12984,5,3,3,1,2,2533.6,217500
600,1950,6,4,3,1,2,2095.14,151000
601,10927,8,4,3,1,2,2548.44,275000
602,9000,6,2,3,1,1,1798.6,141000
603,10041,8,4,3,1,2,2634.3,220000
604,3182,7,3,2,0,2,1505.6,151000
605,12803,7,3,3,1,2,2377.48,221000
606,13600,7,3,3,3,2,2502.4,205000
607,12464,5,2,3,0,2,1687.6,152000
