Id,LotArea,OverallQual,T_Bath,T_Br,Fireplaces,GarageCars,Ppf_Adj,T_Sf,SalePrice
471,6820,1.15,3,1,0,2,135.125,2551.76,212000
472,11952,1.15,3,3,1,2,135.125,2360.84,190000
473,3675,1.1,2,2,0,2,129.25,1403.62,148000
474,14977,1.15,3,2,1,3,135.125,3198.68,440000
475,5330,1.15,3,2,0,2,135.125,2576.8,251000
476,8480,0.95,2,2,0,2,111.625,1590.2,132500
477,13125,1.1,3,3,1,2,129.25,2365.6,208900
478,13693,1.2,3,3,1,3,141,3578,380000
479,10637,1.15,3,3,1,3,135.125,2801.64,297000
480,5925,0.9,1,2,0,2,105.75,1499.68,89471
481,16033,1.2,3,3,1,3,141,3213.74,326000
482,11846,1.2,3,2,1,3,141,2997.58,374000
